"","Salary","Age","G","MP","mean_views","PTS","GS","X3P.","X2P.","FT.","PF","STL","BLK","TOV","Play","Season","Pos1"
"1171",1690000,23,44,14.5,355.150684931507,4.7,10,0.354,0.697,0.481,2.3,0.4,0.9,0.8,0,3,2
"1172",2165481,31,73,16.7,356.795081967213,6.3,6,0.367,0.563,0.8,1.9,0.4,0.2,0.6,0,3,2
"1173",16539326,26,49,22.3,705.775342465753,15.6,27,0.292,0.586,0.795,3,0.4,1.1,1.8,0,3,1
"1174",4969080,21,75,26.6,409.315068493151,9.6,64,0.323,0.51,0.815,1.9,0.8,1.3,1,0,3,2
"1175",6000000,29,56,19,881.926229508197,6.5,9,0.269,0.427,0.742,1.6,0.5,0.3,1.2,0,3,5
"1176",1378242,24,68,11.6,851.569863013699,3.3,3,0,0.521,0.61,1.2,0.3,0.8,0.6,0,3,1
"1177",12500000,26,81,27.3,2335.99726027397,16.8,0,0.324,0.524,0.844,1.4,0.7,0.2,1.7,0,3,5
"1179",77250,27,27,12.3,132.758904109589,5.9,0,0.286,0.537,0.8,1,0.5,0.3,0.6,0,3,5
"1180",2393887,37,49,12.9,11.0989010989011,2.3,0,0.246,0.492,0.818,1.3,0.3,0.1,0.7,0,3,3
"1181",1655160,23,67,25.6,499.019178082192,7.8,22,0.336,0.511,0.688,2.2,1,0.6,0.9,0,3,5
"1182",6041520,21,79,25.2,673.320547945205,11.5,29,0.324,0.445,0.671,2.6,0.9,0.7,2.2,0,3,5
"1183",2163600,20,74,23.7,249.671232876712,7.7,52,0.279,0.464,0.728,2.2,1.2,0.4,0.9,0,3,5
"1184",9367200,25,73,34.8,316.139726027397,16.6,73,0.357,0.458,0.861,2.7,1.1,0.5,1.5,0,3,5
"1185",26641111,28,67,35.9,1603.53698630137,21.2,67,0.325,0.539,0.768,2.2,1.6,0.8,3.1,0,3,5
"1186",2166360,23,70,19.4,270.865753424658,5.8,25,0.365,0.541,0.767,1.3,0.4,0.3,0.5,0,3,2
"1187",8641000,24,73,30.6,1065.33424657534,21.4,49,0.344,0.564,0.731,3.4,0.7,0.6,2.8,0,3,2
"1188",2516047,25,48,9.6,5.06849315068493,3.7,4,0.312,0.5,0.743,1,0.5,0.3,0.5,0,3,4
"1189",4500000,29,82,31.8,698.860273972603,10.5,77,0.348,0.442,0.896,2,1.5,0.4,1.3,0,3,5
"1190",2807880,23,81,19.9,428.564383561644,7.2,14,0.355,0.542,0.785,1.2,0.4,0.2,0.4,0,3,4
"1191",2667600,21,3,7,416.309589041096,1.7,0,0,0.4,0.5,1.7,0.7,0,0,0,3,1
"1192",3448926,22,66,29.7,435.8,12.6,52,0.375,0.462,0.628,2.7,1.1,0.3,2.2,0,3,4
"1193",11111111,24,72,27.4,619.386301369863,15.6,72,0.103,0.523,0.773,3.5,1,1.4,2.3,0,3,1
"1194",7839435,23,77,33.1,2019.47397260274,24.4,77,0.4,0.562,0.836,3.8,0.9,1.6,3.1,1,3,1
"1195",23114066,27,60,34,6419.29315068493,26.6,60,0.371,0.542,0.854,1.5,1.8,0.4,2,1,3,4
"1196",838464,23,30,16.8,279.312328767123,5,3,0.25,0.522,0.643,1,0.6,0.5,0.5,0,3,4
"1197",13537527,27,79,22.9,530.460273972603,10,36,0.354,0.604,0.822,2.3,0.7,0.5,1.4,0,3,2
"1198",12000000,28,82,34.9,1770.63835616438,25.6,82,0.356,0.494,0.844,1.6,1.2,0.4,2.6,1,3,3
"1199",14242782,29,37,19.7,444.095628415301,10.4,13,0.32,0.617,0.646,2.2,0.5,0.6,0.9,0,3,1
"1200",838464,24,46,23.5,44.4821917808219,6.1,29,0.333,0.447,0.684,2.1,1,0.4,0.8,0,3,4
"1201",18089888,29,67,24.5,358.147945205479,11.6,35,0.32,0.465,0.726,2.5,1.3,0.6,1.8,0,3,5
"1202",12000000,25,82,24.8,859.567123287671,11.4,23,0.347,0.542,0.867,1.7,0.9,0.2,0.8,0,3,5
"1203",30000000,30,78,34.6,10067.9643835616,26,78,0.353,0.587,0.885,2,0.7,1.1,2.9,1,3,4
"1204",2250960,20,75,27.3,246.556164383562,9.7,59,0.385,0.457,0.732,2.1,0.9,0.3,1.5,0,3,5
"1205",3744840,19,75,28.8,810.164383561644,12.8,57,0.343,0.387,0.717,2.3,0.6,0.3,1.5,0,3,2
"1206",24119025,30,22,27.2,3464.07123287671,17,21,0.361,0.412,0.904,2.5,0.3,0.2,1.9,0,3,2
"1207",1567007,22,80,18.5,839.591780821918,6.3,24,0.1,0.641,0.619,2.6,0.6,0.7,0.6,0,3,1
"1208",1378242,26,50,12.9,149.624657534247,4.8,1,0,0.607,0.699,1.4,0.4,0.6,0.4,0,3,1
"1209",13000000,27,77,31.1,580.805479452055,18.3,77,0.378,0.485,0.837,2.2,1,0.1,2.3,1,3,4
"1210",838464,22,26,7.5,105.512328767123,2.3,0,0.286,0.353,0.636,0.8,0.3,0.2,0.2,0,3,5
"1211",18988725,28,78,34,4889.89589041096,21.5,78,0.402,0.516,0.816,2,1.1,0.6,1.5,1,3,5
