"Year","Month","Day_of_Week","Hour","Division","Location","Brand","Type","Speed","Colour","Cost","Status","Total_theft"
2024,2,4,17,53,1,2,4,18,1,150,1,30
2024,1,6,12,53,1,2,1,8,7,1000,1,12
2024,2,4,16,51,2,2,5,3,6,1500,1,30
2024,2,6,8,52,3,2,2,30,5,1500,1,18
2024,1,2,13,22,1,2,5,22,1,5000,1,17
2024,2,5,18,55,2,2,1,20,1,2200,1,18
2024,2,6,2,55,5,2,5,6,7,450,1,18
2024,2,6,21,11,1,2,1,7,1,3000,1,18
2024,2,1,7,52,1,2,2,18,1,1300,1,11
2024,2,6,13,14,1,2,5,1,1,700,1,18
2024,2,1,9,55,1,2,5,7,2,599.99,1,11
2024,2,2,11,51,1,2,4,15,4,699,1,12
2024,2,1,22,53,1,2,1,8,8,981.29,1,11
2024,2,3,17,51,3,2,4,21,1,674,1,9
2024,1,6,9,14,1,1,5,16,4,1210,1,12
2024,2,4,14,14,1,1,4,16,2,1000,1,30
2024,2,4,12,51,2,2,2,24,1,2500,1,30
2023,11,3,13,55,1,1,4,9,2,2350,3,31
2024,2,4,14,14,1,2,4,16,1,1000,1,30
2024,2,7,14,55,2,2,2,1,1,3349,1,11
2024,2,2,8,52,5,2,5,7,1,400,1,12
2024,2,2,16,51,1,2,5,1,7,700,1,12
2024,2,3,18,52,2,2,1,1,8,1200,1,9
2024,2,4,10,55,2,2,5,1,7,800,1,30
2024,2,4,19,13,1,1,2,1,7,5449,1,30
2024,2,5,22,55,1,1,4,21,7,1000,1,18
2024,2,2,22,14,1,2,5,11,1,1200,1,12
2024,2,6,19,42,3,2,5,50,8,600,1,18
2024,2,6,12,55,2,1,5,21,5,860,1,18
2024,2,6,22,32,2,2,4,15,7,300,1,18
2024,2,7,16,14,3,2,4,23,2,400,1,11
2024,2,6,23,11,1,2,4,10,1,500,1,18
2024,2,6,10,14,5,1,5,27,1,960,1,18
2024,2,1,19,14,1,2,1,21,5,929,1,11
2024,2,1,13,32,1,2,5,14,1,1250,1,11
2024,2,2,8,12,1,2,1,1,7,6000,2,12
2024,2,5,12,32,2,2,5,30,7,1000,1,18
2024,2,4,14,52,5,2,5,30,1,1129.99,1,30
2024,2,4,15,14,5,1,5,8,7,1200,1,30
